id,name,category_code,Operating,Acquired,IPO,Closed,Closed_date,country_code,region,first_funding_date,last_funding_date,funding_rounds,funding_total_usd,emp_engineering_degrees,emp_cs_degrees,emp_business_degrees,emp_matphy_degrees,emp_law_degrees,emp_social_degrees,emp_top_uni_degrees,emp_top_business_degrees,f_engineering_degrees,f_cs_degrees,f_business_degrees,f_matphy_degrees,f_law_degrees,f_social_degrees,f_top_uni_degrees,f_top_business_degrees,emp_big_5_people,emp_mbb_people,emp_industry_people,emp_successful_startup_people,emp_failed_startup_people,emp_succesful_founders,emp_failed_founders,f_big_5_people,f_mbb_people,f_industry_people,f_successful_startup_people,f_failed_startup_people,f_succesful_founders,f_failed_founders,founded_date
5292,NearVerse,mobile,1,0,0,0,,USA,New York,2010,2010,1,1000000,4,3,1,0,0,0,5,1,1,0,1,0,0,0,1,1,0,0,3,2,2,1,0,0,0,0,0,0,0,0,2008
5293,Activate,consulting,1,0,0,0,,USA,New York,,,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,1,2,0,0,0,2010
5294,Sounday,web,1,0,0,0,,ITA,Cagliari,2013,2013,1,2573200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
5295,Sensei,mobile,1,0,0,0,,USA,Palm Beach,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
5296,A Bit Lucky,games_video,0,1,0,0,,USA,SF Bay,2010,2011,2,10312103,0,0,3,0,2,1,2,1,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,1,0,0,0,2009
5297,CoWare,software,1,0,0,0,,USA,SF Bay,2007,2007,1,7000000,3,2,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,5,5,2,0,0,0,0,0,1,0,0,0,1997
5298,Triangulate,web,1,0,0,0,,USA,SF Bay,2010,2010,2,1500000,0,2,1,1,0,0,4,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,2009
5299,Antengo,mobile,1,0,0,0,,USA,San Diego,2010,2013,3,325000,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
5300,AlienVault,enterprise,1,0,0,0,,USA,SF Bay,2010,2013,5,62900035,1,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,2007
5301,Valtech Cardio,medical,1,0,0,0,,ISR,St' Or-Yehuda,2010,2010,1,17800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
5302,Rhythm Pharmaceuticals,biotech,1,0,0,0,,USA,Boston,2010,2013,7,94900000,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2,2,0,0,0,2008
5303,Mimvi,search,1,0,0,0,,USA,SF Bay,2012,2013,3,875000,1,0,1,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,1,1,0,1,0,2010
